playerID,yearID,stint,inMater,Name,Age,teamID,lgID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
taylobe11,2020,1,0,Beau Taylor,30,CLE,AL,162,59,52,3,4,0,0,0,5,0,0,5,21,0,0,2,0,0
willima10,2020,1,0,Mason Williams,28,BAL,AL,162,44,43,1,6,0,2,0,1,0,2,1,20,0,0,0,0,0
lintz02,2020,1,0,Tzu-Wei Lin,26,BOS,AL,162,140,128,7,21,3,0,1,9,0,0,6,41,0,0,4,2,3
hicksaa01,2020,1,1,Aaron Hicks,30,NYY,AL,162,517,423,67,95,24,4,15,52,9,2,90,100,2,3,0,1,10
judgeaa01,2020,1,1,Aaron Judge,28,NYY,AL,162,279,248,52,62,8,0,19,49,1,2,24,77,0,5,0,0,11
whiteaa01,2020,1,1,Aaron Whitefield,23,MIN,AL,162,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
almonab01,2020,1,1,Abraham Almonte,31,SDP,NL,162,32,27,1,3,0,0,0,1,2,2,5,10,0,0,0,0,0
toroab01,2020,1,1,Abraham Toro,23,HOU,AL,162,238,213,31,35,6,0,7,23,2,2,10,57,0,15,0,0,3
mondera02,2020,1,1,Adalberto Mondesi,24,KCR,AL,162,571,532,78,133,26,6,15,55,49,16,31,167,0,3,4,1,10
duvalad01,2020,1,1,Adam Duvall,31,ATL,NL,162,512,464,78,109,20,0,35,76,1,0,38,132,0,7,0,3,6
eatonad02,2020,1,1,Adam Eaton,31,WSN,NL,162,431,389,53,88,25,2,10,42,7,0,31,84,2,3,8,0,10
engelad01,2020,1,1,Adam Engel,28,CHW,AL,162,228,214,27,60,12,2,7,28,2,0,10,49,0,4,0,0,3
fraziad01,2020,1,1,Adam Frazier,28,PIT,NL,162,564,511,56,117,18,0,17,57,3,6,43,96,0,7,2,1,8
haselad01,2020,1,1,Adam Haseley,24,PHI,NL,162,225,196,19,52,12,0,1,30,0,0,17,44,2,4,6,2,7
hechaad01,2020,1,1,Adeiny Hechavarria,31,ATL,NL,162,154,144,17,36,7,0,1,7,0,0,10,31,0,0,0,0,3
garciad02,2020,1,1,Adolis García,27,TEX,AL,162,17,15,0,1,0,0,0,0,0,0,2,9,0,0,0,0,0
polloaj01,2020,1,1,AJ Pollock,32,LAD,NL,162,515,477,71,127,22,0,35,78,5,4,32,114,2,1,0,5,14
almoral01,2020,1,1,Albert Almora,26,CHC,NL,162,83,74,10,13,3,0,0,4,0,0,7,22,0,2,0,0,0
pujolal01,2020,1,1,Albert Pujols,40,LAA,AL,162,399,370,38,82,19,0,14,58,1,0,24,68,2,3,0,2,9
bohmal01,2020,1,1,Alec Bohm,23,PHI,NL,162,441,393,57,124,25,0,10,55,3,2,39,92,0,5,0,4,10
millsal02,2020,1,1,Alec Mills,28,CHC,NL,162,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
