,PlayerID,Name
0,10000029,Nick Ahmed
62,10000030,Brandon Drury
196,10000038,Ender Inciarte
234,10000040,David Peralta
303,10000041,AJ Pollock
350,10000077,Freddie Freeman
451,10000081,Jose Peraza
487,10000082,Jace Peterson
510,10000084,Andrelton Simmons
567,10000129,Manny Machado
841,10000170,Brock Holt
877,10000174,Pablo Sandoval
925,10000176,Mookie Betts
988,10000177,Jackie Bradley Jr.
1053,10000213,Javier Baez
1213,10000217,Anthony Rizzo
1343,10000257,Kevan Smith
1537,10000270,Avisail Garcia
1605,10000301,Tucker Barnhart
1672,10000311,Eugenio Suarez
1740,10000312,Joey Votto
1877,10000344,Roberto Perez
1966,10000352,Jose Ramirez
2105,10000357,Michael Brantley
2228,10000394,Charlie Culberson
2498,10000437,James McCann
2612,10000439,Nick Castellanos
2739,10000445,Hernan Perez
2817,10000481,Jason Castro
2865,10000485,Jose Altuve
2985,10000489,Jed Lowrie
3080,10000492,Jonathan Villar
3222,10000496,Jake Marisnick
3333,10000530,Eric Hosmer
3399,10000534,Mike Moustakas
3429,10000539,Lorenzo Cain
3510,10000590,Albert Pujols
3560,10000593,Kole Calhoun
3823,10000640,Justin Turner
3890,10000646,Joc Pederson
3947,10000674,Jeff Mathis
4103,10000689,Marcell Ozuna
4204,10000691,Christian Yelich
4244,10000718,Jonathan Lucroy
4249,10000719,Martin Maldonado
4354,10000734,Khris Davis
4416,10000770,Eduardo Escobar
4487,10000774,Jorge Polanco
4553,10000775,Miguel Sano
4642,10000779,Max Kepler
4683,10000780,Eddie Rosario
4773,10000809,Travis d'Arnaud
4858,10000820,Wilfredo Tovar
4912,10000856,Austin Romine
5066,10000874,Mason Williams
5100,10000900,Mark Canha
5240,10000909,Eric Sogard
5303,10000910,Stephen Vogt
5344,10000918,Josh Reddick
5371,10000953,Maikel Franco
5442,10000954,Freddy Galvis
5511,10000955,Cesar Hernandez
5869,10001049,Abraham Almonte
5888,10001052,Cameron Maybin
5898,10001053,Wil Myers
6033,10001087,Ketel Marte
6199,10001091,Chris Taylor
6268,10001094,Nelson Cruz
6387,10001127,Ehire Adrianza
6560,10001132,Matt Duffy
6833,10001179,Kolten Wong
6950,10001182,Jason Heyward
7007,10001185,Tommy Pham
7111,10001212,Rene Rivera
7130,10001216,Asdrubal Cabrera
7280,10001227,Steven Souza Jr.
7284,10001264,Elvis Andrus
7397,10001271,Jurickson Profar
7464,10001282,Mitch Moreland
7513,10001313,Josh Donaldson
7569,10001325,Kevin Pillar
7652,10001355,Jose Lobaton
7909,10001496,Ryan Lavarnway
7954,10001862,Manny Pina
8019,10001889,Pedro Severino
8152,10001907,Brandon Nimmo
8176,10001910,Austin Hedges
8212,10001911,Francisco Lindor
8281,10001918,Carlos Correa
8348,10001926,Luke Maile
8356,10001928,Patrick Kivlehan
8361,10001934,Byron Buxton
8462,10001943,Austin Nola
8480,10001945,Tyler Naquin
8608,10001947,Jesse Winker
8671,10001955,Max Muncy
8732,10001958,Carson Kelly
8783,10001961,Matt Olson
8851,10001966,Joey Gallo
8919,10001971,Stephen Piscotty
8969,10001979,Corey Seager
9007,10001989,Albert Almora Jr.
9065,10002001,Rafael Ortega
9445,10002076,Kris Bryant
9512,10002082,Johan Camargo
9594,10002089,Mitch Garver
9785,10002101,Aramis Garcia
9870,10002115,Aristides Aquino
9883,10002117,Brian O'Grady
9978,10002149,Ivan Castillo
9981,10003122,Cody Bellinger
10061,10003163,Rob Refsnyder
10080,10003164,Jake Cave
10167,10003192,Austin Barnes
10253,10003217,Tony Wolters
10395,10003268,Christian Walker
10440,10003298,Travis Shaw
10581,10003328,Aledmys Diaz
10713,10004398,Sean Kazmar Jr.
10722,10005235,Michael Conforto
10823,10005301,Harold Ramirez
10865,10005307,Willson Contreras
10997,10005309,Daniel Vogelbach
11255,10005377,Orlando Arcia
11323,10005392,Ronald Guzman
11330,10005397,Sergio Alcantara
11414,10005433,Willy Adames
11483,10005445,Ozzie Albies
11552,10005453,Austin Allen
11590,10005474,John Andreoli
11632,10005480,Guillermo Heredia
11679,10005493,Luis Arraez
11725,10005497,Willians Astudillo
11971,10005542,Jeff McNeil
12014,10005563,Alex Blandino
12057,10005565,Travis Blankenhorn
12064,10005569,Skye Bolt
12075,10005581,Ildemaro Vargas
12100,10005586,Bobby Bradley
12113,10005589,Alex Bregman
12200,10005612,Andy Burns
12208,10005628,Willie Calhoun
12269,10005633,Victor Caratini
12370,10005656,Gilberto Celestino
12380,10005660,Yu Chang
12424,10005661,Matt Chapman
12508,10005672,Trent Grisham
12727,10005716,David Dahl
12769,10005722,J.D. Davis
13105,10005821,Derek Fisher
13196,10005878,Andres Gimenez
13235,10005888,Pat Valaika
13504,10005926,Billy McKinney
13567,10005930,Stevie Wilkerson
13594,10005947,Jake Hager
13661,10006008,Nick Gordon
13675,10006033,Luis Guillorme
13775,10006046,Ian Happ
13856,10006058,Jonah Heim
13994,10006088,Bradley Zimmer
14017,10006098,Mike Freeman
14031,10006099,Josh VanMeter
14147,10006136,Andy Ibanez
14156,10006140,Alex Jackson
14231,10006190,Jason Martin
14251,10006200,Tony Kemp
14357,10006242,Domingo Leyba
14370,10006247,Tzu-Wei Lin
14440,10006276,Jordan Luplow
14876,10006354,Trey Mancini
15000,10006394,Jorge Mateo
15098,10006417,Ryan McKenna
15305,10006492,Ryan Mountcastle
15372,10006506,Josh Naylor
15437,10006511,Tyler Nevin
15540,10006535,Cristian Pache
15571,10006561,Daniel Robertson
15668,10006568,Chad Pinder
15700,10006611,Franmil Reyes
15769,10006622,Austin Riley
15991,10006682,Seth Brown
16047,10006695,Amed Rosario
16112,10006717,Anthony Santander
16159,10006763,Chance Sisco
16245,10006775,Dominic Smith
16418,10006804,Tyler Stephenson
16527,10006807,DJ Stewart
16583,10006826,Dansby Swanson
16711,10006836,Leody Taveras
16726,10006837,Tyrone Taylor
16858,10006868,Kyle Tucker
17028,10006940,Patrick Wisdom
17070,10006969,Ronald Acuna Jr.
17218,10007009,Pete Alonso
17529,10007022,Ronnie Dawson
17532,10007027,Mario Feliciano
17560,10007040,Alex Kirilloff
17634,10007046,Gavin Lux
17824,10007075,Austin Hays
17865,10007080,Khalil Lee
17876,10007090,Sean Murphy
17937,10007096,Sheldon Neuse
17975,10007102,DJ Peters
17993,10007109,Corey Ray
18084,10007117,Ben Rortvedt
18104,10007121,Nick Senzel
18141,10007125,Will Smith
18200,10007126,Nick Solak
18318,10007148,Yuli Gurriel
18384,10007151,Luis Urias
18451,10007152,Yordan Alvarez
18566,10007169,JT Riddle
18581,10007200,Omar Narvaez
18633,10007209,Max Schrock
18645,10007216,Edwin Rios
18670,10007217,Fernando Tatis Jr.
18842,10007253,Anderson Tejeda
18984,10007287,Garrett Stubbs
19039,10007310,Keibert Ruiz
19049,10007333,Patrick Mazeika
19062,10007359,Kyle Farmer
19130,10007367,Tomas Nido
19163,10007398,Ramon Laureano
19226,10007416,Jake Cronenworth
19591,10007542,Scott Heineman
19610,10007552,Tim Lopes
19615,10007553,Jose Trevino
19665,10007554,Isiah Kiner-Falefa
19748,10007578,Webster Rivas
19800,10007641,David Bote
19851,10007647,Cedric Mullins
19924,10007655,Tim Locastro
19972,10007656,Kyle Garlick
20010,10007662,Jack Kruger
20061,10007765,Yoshitomo Tsutsugo
20099,10007781,Shogo Akiyama
20131,10007812,Ha-Seong Kim
20189,10007848,Austin Wynns
20282,10008005,Matt Beaty
20418,10008086,Zach McKinstry
20452,10008146,Nick Martini
20470,10008190,Myles Straw
20562,10008232,Pablo Reyes
20611,10008249,Taylor Jones
20626,10008285,Daniel Johnson
20628,10008337,Luis Campusano
20650,10008358,Keston Hiura
20697,10008388,Ernie Clement
20711,10008431,Brent Rooker
20720,10008438,Pavin Smith
20790,10008455,Daulton Varsho
20869,10008490,Abraham Toro
20914,10008553,Luis Barrera
20919,10008579,William Contreras
21120,10008798,Eli White
21199,10008893,P.J. Higgins
21208,10008894,Vimael Machin
21256,10008979,Nick Heath
21391,10008989,Nate Lowe
21488,10009010,Chas McCormick
21596,10009032,Ramon Urias
21623,10009033,Andrew Young
21649,10009041,Luke Raley
21676,10009104,Josh Rojas
21826,10009296,Nico Hoerner
21847,10009298,Jonathan India
21908,10009300,Ryan Jeffers
21955,10009306,Trevor Larnach
22060,10009350,Owen Miller
22077,10009505,Geraldo Perdomo
22081,10009516,Adolis Garcia
22142,10009559,Tucupita Marcano
22203,10009748,Alex De Goti
22247,10009889,M. Payton
22257,10009889,Mark Payton
22332,10010637,Robel Garcia
22353,10010829,Johneshwy Fargas
