Name,DKp
AJ Pollock,1.915
Aaron Hicks,1.943
Aaron Judge,2.09
Aaron Whitefield,1.761
Abraham Almonte,1.629
Abraham Toro,1.747
Adalberto Mondesi,2.068
Adam Duvall,1.826
Adam Eaton,1.75
Adam Engel,1.666
Adam Frazier,1.665
Adam Haseley,1.759
Adam Kolarek,1.831
Adeiny Hechavarria,1.671
Adolis García,1.711
Albert Almora,1.606
Albert Pujols,1.73
Alec Bohm,1.822
Alec Mills,1.728
Aledmys Díaz,1.855
Alejandro Kirk,1.774
Alex Avila,1.576
Alex Bregman,2.117
Alex Dickerson,1.957
Alex Gordon,1.622
Alex Jackson,1.659
Alex Verdugo,1.864
Ali Sanchez,1.793
Amed Rosario,1.761
Anderson Tejeda,1.849
Andrelton Simmons,1.695
Andres Gimenez,1.859
Andrew Benintendi,1.843
Andrew Knapp,1.667
Andrew Knizner,1.777
Andrew McCutchen,1.813
Andrew Romine,1.525
Andrew Stevenson,1.903
Andrew Susac,1.707
Andrew Velazquez,1.654
Andy Young,1.785
Anthony Alford,1.847
Anthony Bemboom,1.671
Anthony Rendon,2.137
Anthony Rizzo,1.903
Anthony Santander,1.864
Aristides Aquino,2.003
Asdrubal Cabrera,1.783
Austin Adams,1.776
Austin Allen,1.676
Austin Barnes,1.635
Austin Dean,1.618
Austin Hays,1.853
Austin Hedges,1.543
Austin Meadows,1.935
Austin Nola,1.787
Austin Riley,1.813
Austin Romine,1.682
Austin Slater,1.864
Avisail Garcia,1.68
Beau Taylor,1.643
Ben Gamel,1.641
Billy Hamilton,1.651
Billy McKinney,1.714
Bo Bichette,1.954
Bobby Dalbec,1.833
Brad Miller,1.852
Braden Bishop,1.591
Bradley Zimmer,1.675
Brandon Belt,1.829
Brandon Crawford,1.684
Brandon Dixon,1.648
Brandon Drury,1.502
Brandon Lowe,1.95
Brandon Nimmo,1.881
Brendan Rodgers,1.559
Brent Rooker,1.763
Brett Gardner,1.793
Brett Phillips,1.663
Brian Anderson,1.816
Brian Dozier,1.748
Brian Goodwin,1.854
Brian Navarreto,1.841
Brian O'Grady,1.815
Brock Holt,1.642
Bryan Holaday,1.479
Bryan Reynolds,1.806
Bryce Harper,2.168
Bubba Starling,1.526
Byron Buxton,1.93
C.J. Cron,1.8
Caleb Joseph,1.537
Cam Gallagher,1.61
Cameron Maybin,1.755
Carlos Correa,1.824
Carlos Santana,1.84
Carson Kelly,1.673
Carter Kieboom,1.55
Cavan Biggio,1.938
Cedric Mullins,1.662
Cesar Hernandez,1.748
Cesar Puello,1.678
Chad Pinder,1.777
Chad Wallach,1.641
Chadwick Tromp,1.759
Chance Sisco,1.619
Charlie Blackmon,1.965
Charlie Culberson,1.83
Cheslor Cuthbert,1.615
Chris Davis,1.375
Chris Owings,1.548
Chris Taylor,1.874
Christian Arroyo,1.784
Christian Colon,1.742
Christian Vazquez,1.791
Christian Walker,1.825
Christian Yelich,2.257
Christin Stewart,1.541
Clint Frazier,1.936
Cody Bellinger,2.089
Cole Tucker,1.522
Colin Moran,1.717
Corey Dickerson,1.808
Corey Seager,1.961
Cristian Pache,1.767
Curt Casali,1.771
DJ LeMahieu,2.0
DJ Stewart,1.767
Daniel Johnson,1.761
Daniel Murphy,1.755
Daniel Robertson,1.648
Daniel Vogelbach,1.718
Danny Jansen,1.672
Danny Mendick,1.689
Danny Santana,1.973
Dansby Swanson,1.862
Darin Ruf,1.857
Daulton Varsho,1.766
David Bote,1.796
David Dahl,1.859
David Fletcher,1.708
David Peralta,1.886
Dawel Lugo,1.553
Daz Cameron,1.629
Dee Strange-Gordon,1.606
Deivy Grullon,1.743
Delino DeShields,1.634
Derek Dietrich,1.741
Derek Fisher,1.752
Derek Hill,1.713
Dexter Fowler,1.72
Didi Gregorius,1.939
Dilson Herrera,1.725
Domingo Santana,1.764
Dominic Smith,1.961
Donovan Solano,1.734
Donovan Walton,1.706
Drew Butera,1.551
Dustin Garneau,1.614
Dwight Smith Jr.,1.708
Dylan Carlson,1.698
Dylan Moore,1.898
Eddie Rosario,1.97
Eddy Alvarez,1.769
Eduardo Escobar,1.814
Eduardo Nunez,1.582
Edward Olivares,1.673
Edwin Encarnacion,1.898
Edwin Rios,1.975
Ehire Adrianza,1.68
Eli White,1.648
Elias Diaz,1.587
Elliot Soto,1.761
Eloy Jimenez,1.899
Elvis Andrus,1.744
Emilio Bonifacio,1.814
Ender Inciarte,1.698
Enrique Hernandez,1.767
Eric Haase,1.627
Eric Hosmer,1.761
Eric Sogard,1.638
Eric Thames,1.772
Erick Mejia,1.696
Erik Gonzalez,1.595
Erik Kratz,1.585
Estevan Florial,1.765
Eugenio Suarez,2.003
Evan Longoria,1.744
Evan White,1.665
Fernando Tatis Jr.,2.188
Franchy Cordero,1.838
Francisco Cervelli,1.707
Francisco Lindor,2.062
Francisco Mejia,1.569
Franklin Barreto,1.66
Franmil Reyes,1.824
Freddie Freeman,2.154
Freddy Galvis,1.761
Garrett Cooper,1.77
Garrett Hampson,1.699
Garrett Stubbs,1.696
Gary Sanchez,1.804
Gavin Lux,1.771
George Springer,2.016
Giancarlo Stanton,1.925
Gio Urshela,1.927
Gleyber Torres,1.857
Grayson Greiner,1.542
Greg Allen,1.724
Greg Garcia,1.551
Gregory Polanco,1.756
Guillermo Heredia,1.588
Hanser Alberto,1.677
Harold Castro,1.706
Harold Ramirez,1.734
Harrison Bader,1.829
Hernan Perez,1.695
Howie Kendrick,1.925
Hunter Dozier,1.821
Hunter Pence,1.782
Hunter Renfroe,1.883
Ian Happ,1.892
Ian Miller,1.729
Ildemaro Vargas,1.694
Isaac Paredes,1.59
Isan Diaz,1.552
Isiah Kiner-Falefa,1.651
J.D. Davis,1.8
J.D. Martinez,2.007
J.P. Crawford,1.681
J.T. Realmuto,2.013
JT Riddle,1.537
JaCoby Jones,1.794
Jace Peterson,1.724
Jack Mayfield,1.624
Jackie Bradley Jr.,1.82
Jacob Nottingham,1.799
Jacob Stallings,1.638
Jahmai Jones,1.799
Jake Cave,1.807
Jake Cronenworth,1.828
Jake Fraley,1.634
Jake Lamb,1.671
Jake Marisnick,1.816
Jake Noll,1.728
James McCann,1.73
Jared Oliva,1.76
Jared Walsh,1.853
Jarrod Dyson,1.713
Jason Castro,1.63
Jason Heyward,1.751
Jason Kipnis,1.665
Jason Martin,1.758
Javier Baez,1.921
Jay Bruce,1.782
Jaylin Davis,1.738
Jazz Chisholm,1.775
Jean Segura,1.749
Jedd Gyorko,1.747
Jeff Mathis,1.391
Jeff McNeil,1.905
Jeimer Candelario,1.672
Jesse Winker,1.845
Jesus Aguilar,1.932
Jesus Sanchez,1.632
Ji-Man Choi,1.779
Jo Adell,1.574
Joc Pederson,1.908
Joe Hudson,1.661
Joe McCarthy,1.7
Joe Panik,1.574
Joey Bart,1.723
Joey Gallo,1.948
Joey Rickard,1.608
Joey Votto,1.802
Joey Wendle,1.793
Johan Camargo,1.667
John Nogowski,1.733
John Ryan Murphy,1.531
Jon Berti,1.928
Jon Jay,1.441
Jonah Heim,1.714
Jonathan Arauz,1.659
Jonathan Davis,1.729
Jonathan Holder,1.831
