,GameID,Game.AwayTeamStartingPitcherID,Game.HomeTeamStartingPitcherID,Game.PointSpread,Game.OverUnder,Game.AwayTeamMoneyLine,Game.HomeTeamMoneyLine
0,50606.0,10000843.0,,1.5,9.0,-115.0,105.0
1,50603.0,10001157.0,10000805.0,-1.5,6.5,123.0,-133.0
2,50604.0,10000193.0,10003284.0,1.5,8.0,-215.0,195.0
3,50611.0,10002058.0,10000007.0,-1.5,8.0,102.0,-112.0
4,50600.0,10005232.0,10000066.0,1.5,8.0,-123.0,113.0
5,50607.0,10002077.0,10001064.0,1.5,8.5,-162.0,152.0
6,50599.0,10000432.0,10000931.0,1.5,9.5,-156.0,146.0
7,50597.0,10001203.0,10000095.0,-1.5,9.5,115.0,-125.0
8,50601.0,,,1.5,8.5,-185.0,178.0
9,50605.0,10000249.0,10001187.0,1.5,7.0,-165.0,155.0
10,50610.0,10000335.0,10001065.0,1.5,7.0,-174.0,164.0
11,50598.0,10000519.0,10000506.0,-1.5,8.5,116.0,-126.0
12,50609.0,10000001.0,10001629.0,1.5,8.0,-123.0,113.0
13,50602.0,10002046.0,10000618.0,-1.5,7.5,260.0,-290.0
14,50608.0,10000564.0,10000885.0,1.5,9.0,-115.0,105.0
0,53561.0,10000426.0,10000276.0,1.5,9.0,-205.0,188.0
1,53562.0,10000843.0,10001353.0,1.5,9.0,-128.0,118.0
2,50618.0,10000364.0,10000020.0,-1.5,8.0,130.0,-140.0
3,50613.0,10006571.0,10000466.0,-1.5,9.0,-105.0,-105.0
4,50617.0,10000850.0,10001303.0,1.5,8.5,-138.0,128.0
5,50612.0,10000469.0,10001335.0,1.5,8.5,-172.0,162.0
6,50616.0,10000421.0,10005315.0,1.5,7.5,-147.0,137.0
7,50620.0,10000371.0,10007081.0,1.5,8.0,-115.0,105.0
8,50614.0,10000282.0,10000071.0,-1.5,7.5,148.0,-158.0
9,50615.0,10003212.0,10007391.0,1.5,8.5,-205.0,188.0
10,50619.0,10000569.0,10002091.0,-1.5,9.0,100.0,-110.0
0,50632.0,10000848.0,10001290.0,1.5,9.0,-110.0,100.0
1,50623.0,10003360.0,10001202.0,1.5,10.0,-190.0,180.0
2,50625.0,10001350.0,10007245.0,1.5,8.0,-146.0,136.0
3,50633.0,10000330.0,10001072.0,1.5,7.0,-108.0,-102.0
4,50630.0,10002066.0,10005327.0,-1.5,8.0,102.0,-112.0
5,50627.0,10001161.0,10000787.0,-1.5,7.0,109.0,-119.0
6,50631.0,10000568.0,10006438.0,1.5,9.0,-108.0,-102.0
7,50634.0,10005351.0,10000613.0,-1.5,8.5,135.0,-145.0
8,50624.0,10003322.0,10000622.0,-1.5,8.0,-101.0,-109.0
9,50621.0,10000746.0,10001017.0,1.5,9.0,-117.0,107.0
10,50629.0,10000153.0,10007361.0,1.5,8.0,-113.0,103.0
11,50622.0,10005879.0,10001025.0,-1.5,8.5,-105.0,-105.0
12,50635.0,10006824.0,10003550.0,1.5,8.0,-120.0,110.0
13,50626.0,10001243.0,10005288.0,-1.5,8.0,185.0,-198.0
14,50628.0,10001234.0,10001018.0,1.5,8.0,-210.0,190.0
0,50644.0,10000886.0,10001305.0,-1.5,8.5,106.0,-116.0
1,50638.0,10000970.0,10000060.0,1.5,9.5,-160.0,150.0
2,50636.0,10001993.0,10000101.0,-1.5,8.5,104.0,-114.0
3,50643.0,10007523.0,10005313.0,1.5,8.5,-105.0,-105.0
4,50637.0,,,-1.5,8.0,111.0,-121.0
5,53563.0,10002066.0,10005327.0,1.5,9.0,-120.0,110.0
6,50641.0,10005913.0,10003259.0,1.5,8.0,-146.0,136.0
7,50642.0,10000247.0,10007434.0,1.5,8.0,-205.0,188.0
8,50639.0,10001337.0,10005294.0,1.5,8.5,-128.0,118.0
9,50647.0,10000328.0,10000291.0,1.5,7.5,-138.0,128.0
