,PlayerID,Name
0,10000007,Patrick Corbin
4,10000014,Daniel Hudson
10,10000019,Oliver Perez
17,10000020,Robbie Ray
21,10000058,Craig Kimbrel
25,10000071,Alex Wood
28,10000095,Dylan Bundy
31,10000101,Kevin Gausman
35,10000107,T.J. McFarland
40,10000110,Darren O'Day
46,10000142,Matt Barnes
53,10000147,Heath Hembree
62,10000155,Eduardo Rodriguez
66,10000188,Justin Grimm
71,10000242,Frankie Montas
75,10000247,Jose Quintana
78,10000248,David Robertson
85,10000278,Aroldis Chapman
94,10000284,Anthony DeSclafani
97,10000330,Carlos Carrasco
100,10000335,Corey Kluber
103,10000341,Bryan Shaw
110,10000364,Tyler Anderson
113,10000371,Jhoulys Chacin
120,10000381,Jordan Lyles
124,10000383,Tyler Matzek
131,10000385,Adam Ottavino
138,10000421,David Price
143,10000426,Max Scherzer
147,10000432,Justin Verlander
150,10000452,Anthony Gose
156,10000469,Dallas Keuchel
159,10000470,Collin McHugh
165,10000514,Greg Holland
170,10000547,Jose Alvarez
184,10000550,Ryan Brasier
192,10000555,Andrew Heaney
194,10000558,Brian Moran
195,10000564,Garrett Richards
200,10000570,Joe Smith
207,10000603,Pedro Baez
210,10000612,Yimi Garcia
219,10000613,Zack Greinke
222,10000617,Kenley Jansen
229,10000618,Clayton Kershaw
232,10000628,Hyun Jin Ryu
234,10000653,Steve Cishek
242,10000663,Brad Hand
248,10000670,David Phelps
256,10000709,Wily Peralta
259,10000711,Will Smith
266,10000713,Tyler Thornburg
271,10000746,Kyle Gibson
275,10000750,Trevor May
281,10000757,Ryan Pressly
285,10000762,Caleb Thielbar
292,10000790,Jeurys Familia
299,10000800,Rafael Montero
307,10000804,Hansel Robles
314,10000805,Noah Syndergaard
317,10000807,Zack Wheeler
320,10000837,Nathan Eovaldi
324,10000839,Rich Hill
327,10000845,Michael Pineda
328,10000849,Chasen Shreve
334,10000853,Justin Wilson
339,10000880,Chris Bassitt
343,10000881,Jesse Chavez
347,10000884,Sean Doolittle
353,10000885,Kendall Graveman
361,10000886,Sonny Gray
363,10000927,Jake Diekman
371,10000928,Luis Garcia
381,10000939,Hector Neris
390,10000970,Gerrit Cole
394,10000980,Mark Melancon
401,10000981,Charlie Morton
404,10000986,Jameson Taillon
