TeamID,[Key],Active,City,Name,StadiumID,League,Division,PrimaryColor,SecondaryColor,TertiaryColor,QuaternaryColor,WikipediaLogoUrl,WikipediaWordMarkUrl
1,LAD,True,Los Angeles,Dodgers,31,NL,West,005A9C,FFFFFF,EF3E42,,https://upload.wikimedia.org/wikipedia/commons/0/0e/Los_Angeles_Dodgers_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/f/f6/LA_Dodgers.svg
2,CIN,True,Cincinnati,Reds,64,NL,Central,C6011F,000000,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/0/01/Cincinnati_Reds_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/71/Cincinnati_Reds_Cap_Insignia.svg
3,TOR,True,Toronto,Blue Jays,42,AL,East,134A8E,1D2D5C,E8291C,FFFFFF,https://upload.wikimedia.org/wikipedia/en/b/ba/Toronto_Blue_Jays_logo.svg,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Toronto_Blue_Jays_cap.svg/119px-Toronto_Blue_Jays_cap.svg.png
4,PIT,True,Pittsburgh,Pirates,29,NL,Central,000000,FDB827,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/8/81/Pittsburgh_Pirates_logo_2014.svg,https://upload.wikimedia.org/wikipedia/commons/2/24/Pittsburgh_Pirates_Cap_Insignia.svg
5,KC,True,Kansas City,Royals,33,AL,Central,004687,C09A5B,7AB2DD,FFFFFF,https://upload.wikimedia.org/wikipedia/en/1/1c/Kansas_City_Royals.svg,https://upload.wikimedia.org/wikipedia/commons/8/88/Kansas_City_Royals_Insignia.svg
6,RETIRED,False,,Retired,,,,,,,,,
7,NL,False,National League,All Stars,,NL,NL,,,,,,
8,NOTEAM,False,,Unknown Team,12,,,,,,,,
9,CHC,True,Chicago,Cubs,27,NL,Central,0E3386,CC3433,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/8/80/Chicago_Cubs_logo.svg,https://upload.wikimedia.org/wikipedia/commons/8/89/Chicago_Cubs_Cap_Insignia.svg
10,CLE,True,Cleveland,Guardians,10,AL,Central,002B5C,E31937,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/a/a9/Guardians_winged_%22G%22.svg,https://upload.wikimedia.org/wikipedia/commons/3/3f/Cleveland_Guardians_cap_logo.svg
