,idfangraphs,mlbid,Name,Year,Team,age,selected_pos,mHaAVG,mRBI,mR,mSB,mHR,mV,mPos,m$,$
0,7304,521692.0,Salvador Perez,2022,KCR,32,C,0.9320541387677472,2.3729296096679016,0.16254845174141172,-0.682628392448034,2.677348641010674,5.462252448739701,7.241345593326959,12.703598042066659,48.5
1,19197,669257.0,Will Smith,2022,LAD,27,C,0.27296258998926,0.8549689938878706,0.16254845174141172,-0.5116150164694033,0.42589918816357586,1.204764207312715,7.241345593326959,8.446109800639674,32.6
2,11442,596142.0,Gary Sanchez,2022,NYY,30,C,-2.1177071125222025,-0.8415752237486346,-1.291832432260689,-0.8536417684266646,0.42589918816357586,-4.678857348794614,7.241345593326959,2.5624882445323447,10.6
3,13265,572287.0,Mike Zunino,2022,TBR,31,C,-2.2379916217903975,-1.109450626533346,-1.1207287988486772,-0.8536417684266646,0.20075424287886606,-5.1210585727202185,7.241345593326959,2.1202870206067406,8.9
4,15161,641598.0,Mitch Garver,2022,MIN,31,C,-0.609566181622425,-1.3773260293180574,-1.206280615554683,-0.8536417684266646,-0.47468059297526344,-4.521495187897094,7.241345593326959,2.719850405429865,11.2
5,11368,518735.0,Yasmani Grandal,2022,CHW,34,C,-0.8711880054419658,-0.5736998209639232,-0.4363142652006297,-0.682628392448034,-0.47468059297526344,-3.038511077029816,7.241345593326959,4.202834516297143,16.7
6,11609,575929.0,Willson Contreras,2022,CHC,30,C,-0.5467093818945125,-0.6629916218921603,0.07699663503540581,-0.3406016404907727,-0.6998255382599733,-2.1731315475020128,7.241345593326959,5.068214045824947,20.0
7,11739,592663.0,J.T. Realmuto,2022,PHI,31,C,0.1638378772178627,0.14063458646197372,0.16254845174141172,0.6854786153810113,-0.9249704835446831,0.22752904725757628,7.241345593326959,7.468874640584535,28.9
8,19352,669221.0,Sean Murphy,2022,OAK,28,C,-1.1878849330538144,-1.4666178302462944,-1.206280615554683,-0.8536417684266646,-1.1501154288293929,-5.86454057611085,7.241345593326959,1.3768050172161095,6.2
9,13620,608348.0,Carson Kelly,2022,ARI,28,C,-0.7018003915878563,-1.109450626533346,-1.8051433324967243,-0.8536417684266646,-1.3752603741141027,-5.845296493158694,7.241345593326959,1.3960491001682653,6.2
10,10059,545358.0,Max Stassi,2022,LAA,31,C,-0.9008067085767116,-1.6452014321027686,-1.5484878823787067,-0.8536417684266646,-1.3752603741141027,-6.323398165598954,7.241345593326959,0.9179474277280049,4.4
11,16448,641924.0,Jacob Nottingham,2022,BAL,27,C,-1.0839480175728202,-1.5559096311745315,-2.3184542327327597,-0.682628392448034,-1.6004053193988126,-7.241345593326959,7.241345593326959,0.0,1.0
0,18882,664040.0,Brandon Lowe,2022,TBR,28,2B,-0.08505574627289707,1.5693034013137677,1.2747220689194887,0.17243848744511933,2.0019138051565446,4.933322016562023,5.136898624381263,10.070220640943287,38.7
1,13301,571970.0,Max Muncy,2022,LAD,32,2B,-1.1894533368857965,0.4085099892466851,1.0180666188014709,-0.5116150164694033,1.1013340240177054,0.8268422787106615,5.136898624381263,5.963740903091924,23.3
2,5417,514888.0,Jose Altuve,2022,HOU,32,2B,0.1555132722634951,-0.395116219107449,1.8735847858615302,-0.169588264512142,-0.02439070240584378,1.4400028720995903,5.136898624381263,6.576901496480853,25.6
