,idfangraphs,mlbid,Name,Year,Team,age,wOBA,AVG,OBP,SLG,PA,AB,R,H,S,D,T,HR,RBI,SB,CS,BB,SO,allpos,Position,MI,CI,Pos,OPS,TB,RBI+R,xBH,SB-CS,HBP,FantasyPoints_Hitting,selected_pos,selected,auction$
0,7304,521692.0,Salvador Perez,2022,KCR,32,0.362,0.277,0.321,0.526,639,591,83,164,95,30,0,39,108,3,1,31,155,C,['C'],[],[],"['C', 'UTIL']",0.847,311,191,69,2,0,1264.7,C,,43.7
1,19197,669257.0,Will Smith,2022,LAD,27,0.381,0.266,0.363,0.509,579,485,83,129,72,27,2,29,91,4,0,66,117,C,['C'],[],[],"['C', 'UTIL']",0.872,248,174,58,4,0,1163.8,C,,31.3
2,11739,592663.0,J.T. Realmuto,2022,PHI,31,0.346,0.263,0.334,0.455,604,536,83,141,87,28,3,23,83,11,2,50,138,C/DH,"['C', 'DH']",[],[],"['C', 'DH', 'UTIL']",0.789,244,166,54,9,0,1126.0,C,,26.7
3,11368,518735.0,Yasmani Grandal,2022,CHW,34,0.364,0.238,0.366,0.45,563,458,76,109,63,20,1,25,75,3,1,92,135,C/DH,"['C', 'DH']",[],[],"['C', 'DH', 'UTIL']",0.8160000000000001,206,151,46,2,0,1074.3,C,,20.3
4,11609,575929.0,Willson Contreras,2022,CHC,30,0.347,0.248,0.342,0.441,602,517,82,128,77,26,1,24,74,5,4,58,154,C/DH,"['C', 'DH']",[],[],"['C', 'DH', 'UTIL']",0.783,228,156,51,1,0,1061.0,C,,18.7
5,19918,662139.0,Daulton Varsho,2022,ARI,26,0.324,0.238,0.317,0.416,546,483,72,115,67,27,4,17,61,10,2,53,125,C/OF/DH,"['C', 'OF', 'DH']",[],[],"['C', 'OF', 'DH', 'UTIL']",0.733,201,133,48,8,0,955.0999999999999,C,,5.7
6,17988,663886.0,Tyler Stephenson,2022,CIN,26,0.358,0.28,0.359,0.448,532,464,73,130,87,25,1,17,66,2,1,53,109,C,['C'],[],[],"['C', 'UTIL']",0.8069999999999999,208,139,43,1,0,951.1000000000001,C,,5.2
7,11442,596142.0,Gary Sanchez,2022,NYY,30,0.32,0.209,0.301,0.43,542,474,66,99,52,16,1,29,72,2,1,55,152,C/DH,"['C', 'DH']",[],[],"['C', 'DH', 'UTIL']",0.731,203,138,46,1,0,941.4,C,,4.1
8,15161,641598.0,Mitch Garver,2022,MIN,31,0.349,0.244,0.331,0.471,499,435,67,106,58,22,1,25,66,2,1,53,140,C,['C'],[],[],"['C', 'UTIL']",0.802,205,133,48,1,0,931.8999999999999,C,,2.9
9,19352,669221.0,Sean Murphy,2022,OAK,28,0.332,0.231,0.326,0.425,540,468,67,108,61,25,0,22,65,2,1,59,132,C,['C'],[],[],"['C', 'UTIL']",0.751,199,132,47,1,0,930.0,C,,2.7
10,9774,543877.0,Christian Vazquez,2022,BOS,32,0.322,0.263,0.317,0.412,558,510,63,134,91,26,1,16,64,8,4,41,111,C,['C'],[],[],"['C', 'UTIL']",0.729,210,127,43,4,0,927.5,C,,2.3
11,13620,608348.0,Carson Kelly,2022,ARI,28,0.333,0.242,0.324,0.429,534,466,60,113,70,22,1,21,69,2,0,54,114,C,['C'],[],[],"['C', 'UTIL']",0.753,201,129,44,2,0,916.5,C,,1.0
0,18882,664040.0,Brandon Lowe,2022,TBR,28,0.367,0.258,0.343,0.509,653,570,96,147,78,31,2,36,99,8,1,67,172,2B/OF,"['2B', 'OF']",['MI'],[],"['2B', 'OF', 'MI', 'UTIL']",0.8520000000000001,290,195,69,7,0,1332.3,2B,0.0,52.0
1,16556,645277.0,Ozzie Albies,2022,ATL,25,0.353,0.276,0.329,0.486,650,591,97,163,95,36,5,26,92,16,4,47,121,2B,['2B'],['MI'],[],"['2B', 'MI', 'UTIL']",0.815,286,189,67,12,0,1292.1000000000001,2B,0.0,47.0
2,5417,514888.0,Jose Altuve,2022,HOU,32,0.342,0.263,0.328,0.453,667,598,103,157,98,31,1,27,77,6,5,58,110,2B,['2B'],['MI'],[],"['2B', 'MI', 'UTIL']",0.781,271,180,59,1,0,1222.6,2B,0.0,38.5
3,11281,593160.0,Whit Merrifield,2022,KCR,33,0.328,0.277,0.323,0.419,684,628,92,174,119,36,4,15,72,26,6,41,110,2B/OF,"['2B', 'OF']",['MI'],[],"['2B', 'OF', 'MI', 'UTIL']",0.742,263,164,55,20,0,1211.2,2B,0.0,37.1
4,13301,571970.0,Max Muncy,2022,LAD,32,0.357,0.234,0.348,0.464,624,522,93,122,67,22,1,32,86,4,1,85,141,1B/2B/3B,"['1B', '2B', '3B']",['MI'],['CI'],"['1B', '2B', '3B', 'MI', 'CI', 'UTIL']",0.812,242,179,55,3,0,1207.1,2B,0.0,36.6
5,9874,518934.0,DJ LeMahieu,2022,NYY,34,0.356,0.293,0.359,0.445,668,598,96,175,125,27,2,20,75,6,2,60,98,1B/2B/3B,"['1B', '2B', '3B']",['MI'],['CI'],"['1B', '2B', '3B', 'MI', 'CI', 'UTIL']",0.804,265,171,49,4,0,1195.1,2B,0.0,35.1
6,18036,630105.0,Jake Cronenworth,2022,SDP,28,0.35,0.268,0.339,0.458,638,563,88,151,90,36,7,19,70,6,3,57,104,1B/2B/SS,"['1B', '2B', 'SS']",['MI'],['CI'],"['1B', '2B', 'SS', 'MI', 'CI', 'UTIL']",0.797,259,158,62,3,0,1147.0000000000002,2B,0.0,29.2
7,19470,669242.0,Tommy Edman,2022,STL,27,0.322,0.266,0.321,0.406,672,613,90,163,110,33,4,15,67,20,5,44,117,2B/3B/SS/OF,"['2B', '3B', 'SS', 'OF']",['MI'],['CI'],"['2B', '3B', 'SS', 'OF', 'MI', 'CI', 'UTIL']",0.7270000000000001,248,157,52,15,0,1141.5,2B,0.0,28.6
8,13757,621035.0,Chris Taylor,2022,LAD,32,0.344,0.256,0.338,0.441,600,524,83,134,81,29,4,20,76,10,2,62,159,2B/SS/OF,"['2B', 'SS', 'OF']",['MI'],[],"['2B', 'SS', 'OF', 'MI', 'UTIL']",0.779,231,159,53,8,0,1105.8999999999999,2B,0.0,24.2
9,13613,606466.0,Ketel Marte,2022,ARI,29,0.371,0.299,0.355,0.499,580,525,75,157,97,37,4,20,71,6,1,43,90,2B,['2B'],['MI'],[],"['2B', 'MI', 'UTIL']",0.854,263,146,61,5,0,1098.2,2B,0.0,23.3
10,15112,641857.0,Ryan Mcmahon,2022,COL,28,0.334,0.246,0.323,0.437,610,540,78,133,80,27,2,24,85,5,2,59,163,1B/2B/3B,"['1B', '2B', '3B']",['MI'],['CI'],"['1B', '2B', '3B', 'MI', 'CI', 'UTIL']",0.76,236,163,53,3,0,1097.7,2B,0.0,23.2
11,20454,665862.0,Jazz Chisholm,2022,MIA,24,0.323,0.247,0.31,0.427,597,539,81,133,84,24,5,21,66,21,8,46,154,2B/SS,"['2B', 'SS']",['MI'],[],"['2B', 'SS', 'MI', 'UTIL']",0.737,231,147,50,13,0,1087.7,2B,0.0,22.0
0,19709,665487.0,Fernando Tatis Jr.,2022,SDP,23,0.403,0.291,0.369,0.576,631,550,110,160,86,31,3,40,103,24,5,66,156,SS,['SS'],['MI'],[],"['SS', 'MI', 'UTIL']",0.945,317,213,74,19,0,1501.3,SS,0.0,72.7
1,16252,607208.0,Trea Turner,2022,LAD,29,0.383,0.31,0.366,0.519,656,594,105,184,117,36,5,26,81,29,6,50,116,SS,['SS'],['MI'],[],"['SS', 'MI', 'UTIL']",0.885,308,186,67,23,0,1406.0,SS,0.0,61.0
2,19612,666182.0,Bo Bichette,2022,TOR,24,0.366,0.298,0.347,0.498,651,600,104,179,116,35,2,27,94,19,3,42,131,SS,['SS'],['MI'],[],"['SS', 'MI', 'UTIL']",0.845,300,198,64,16,0,1345.1999999999998,SS,0.0,53.5
3,12533,543760.0,Marcus Semien,2022,TEX,32,0.348,0.255,0.331,0.47,673,600,97,153,86,33,3,30,82,11,2,67,129,SS,['SS'],['MI'],[],"['SS', 'MI', 'UTIL']",0.8009999999999999,281,179,66,9,0,1291.1,SS,0.0,46.9
4,12161,593428.0,Xander Bogaerts,2022,BOS,30,0.375,0.291,0.362,0.496,632,556,93,162,101,34,1,26,85,9,1,63,120,SS,['SS'],['MI'],[],"['SS', 'MI', 'UTIL']",0.858,276,178,61,8,0,1257.4,SS,0.0,42.8
5,15172,641313.0,Tim Anderson,2022,CHW,29,0.356,0.306,0.342,0.478,637,598,105,183,125,33,2,22,68,17,6,31,138,SS,['SS'],['MI'],[],"['SS', 'MI', 'UTIL']",0.8200000000000001,285,173,57,11,0,1221.6999999999998,SS,0.0,38.4
6,18314,621020.0,Dansby Swanson,2022,ATL,28,0.338,0.258,0.325,0.444,667,593,93,153,93,34,2,24,85,10,3,57,163,SS,['SS'],['MI'],[],"['SS', 'MI', 'UTIL']",0.769,263,178,60,7,0,1212.2,SS,0.0,37.2
7,13624,608369.0,Corey Seager,2022,TEX,28,0.375,0.288,0.356,0.51,584,518,83,149,88,34,3,25,87,3,1,54,104,SS/DH,"['SS', 'DH']",['MI'],[],"['SS', 'DH', 'MI', 'UTIL']",0.866,265,170,62,2,0,1165.0,SS,0.0,31.5
8,13152,593871.0,Jorge Polanco,2022,MIN,29,0.34,0.269,0.326,0.453,642,581,86,156,99,32,3,23,78,9,4,48,115,SS,['SS'],['MI'],[],"['SS', 'MI', 'UTIL']",0.779,264,164,58,5,0,1160.6,SS,0.0,30.9
9,15986,642715.0,Willy Adames,2022,MIL,27,0.343,0.26,0.33,0.457,627,562,83,146,85,35,2,24,73,6,3,59,173,SS,['SS'],['MI'],[],"['SS', 'MI', 'UTIL']",0.787,257,156,61,3,0,1143.2000000000003,SS,0.0,28.8
10,12979,595879.0,Javier Baez,2022,DET,30,0.324,0.249,0.297,0.454,619,571,84,142,85,27,3,28,83,13,4,33,182,SS,['SS'],['MI'],[],"['SS', 'MI', 'UTIL']",0.751,260,167,58,9,0,1133.7,SS,0.0,27.6
11,12564,596115.0,Trevor Story,2022,FA,30,0.357,0.268,0.339,0.486,561,500,84,134,76,30,5,23,67,20,5,50,134,SS,['SS'],['MI'],[],"['SS', 'MI', 'UTIL']",0.825,243,151,58,15,0,1132.7,SS,0.0,27.5
0,20123,665742.0,Juan Soto,2022,WSN,24,0.448,0.322,0.441,0.579,641,494,109,159,95,30,2,31,101,12,4,120,106,OF,['OF'],[],[],"['OF', 'UTIL']",1.02,285,210,63,8,0,1502.4,OF,0.0,72.8
1,11579,547180.0,Bryce Harper,2022,PHI,30,0.409,0.282,0.392,0.545,633,510,96,144,76,34,2,32,89,14,3,98,140,OF/DH,"['OF', 'DH']",[],[],"['OF', 'DH', 'UTIL']",0.937,278,185,68,11,0,1387.8999999999999,OF,0.0,58.8
2,13611,605141.0,Mookie Betts,2022,LAD,30,0.374,0.275,0.362,0.495,639,550,108,151,89,31,3,28,77,15,4,73,106,OF,['OF'],[],[],"['OF', 'UTIL']",0.857,272,185,62,11,0,1311.5,OF,0.0,49.4
3,15640,592450.0,Aaron Judge,2022,NYY,30,0.378,0.272,0.357,0.518,635,552,95,150,89,23,1,37,92,5,2,72,164,OF,['OF'],[],[],"['OF', 'UTIL']",0.875,286,187,61,3,0,1307.1000000000001,OF,0.0,48.9
4,18345,663656.0,Kyle Tucker,2022,HOU,25,0.373,0.283,0.344,0.522,598,534,86,151,83,35,6,27,96,16,2,53,111,OF/DH,"['OF', 'DH']",[],[],"['OF', 'DH', 'UTIL']",0.866,279,182,68,14,0,1276.2,OF,0.0,45.1
5,13066,606192.0,Teoscar Hernandez,2022,TOR,30,0.358,0.271,0.33,0.504,619,564,88,153,92,27,1,34,100,12,3,46,166,OF,['OF'],[],[],"['OF', 'UTIL']",0.8340000000000001,285,188,62,9,0,1268.1999999999998,OF,0.0,44.1
6,17929,656775.0,Cedric Mullins II,2022,BAL,28,0.349,0.272,0.335,0.461,659,588,82,160,101,30,6,23,60,24,6,53,133,OF,['OF'],[],[],"['OF', 'UTIL']",0.796,271,142,59,18,0,1213.0,OF,0.0,37.3
7,9241,516782.0,Starling Marte,2022,NYM,34,0.347,0.281,0.344,0.443,625,562,93,158,106,32,4,17,71,31,5,41,116,OF,['OF'],[],[],"['OF', 'UTIL']",0.7869999999999999,250,164,53,26,0,1198.4,OF,0.0,35.5
8,12856,543807.0,George Springer,2022,TOR,33,0.373,0.263,0.349,0.515,584,509,91,134,74,23,3,33,84,6,3,62,121,OF,['OF'],[],[],"['OF', 'UTIL']",0.864,261,175,59,3,0,1197.5,OF,0.0,35.4
9,19326,668804.0,Bryan Reynolds,2022,PIT,27,0.363,0.276,0.356,0.472,641,561,87,155,94,32,6,22,79,5,2,66,137,OF,['OF'],[],[],"['OF', 'UTIL']",0.828,264,166,60,3,0,1194.4,OF,0.0,35.1
10,14128,608336.0,Joey Gallo,2022,NYY,29,0.346,0.213,0.335,0.451,627,521,84,111,56,20,1,34,78,7,1,92,201,OF,['OF'],[],[],"['OF', 'UTIL']",0.786,235,162,55,6,0,1187.4,OF,0.0,34.2
11,11477,592885.0,Christian Yelich,2022,MIL,31,0.367,0.257,0.365,0.463,603,501,89,129,77,24,2,25,70,14,3,86,147,OF/DH,"['OF', 'DH']",[],[],"['OF', 'DH', 'UTIL']",0.8280000000000001,231,159,51,11,0,1185.1,OF,0.0,33.9
12,19290,668227.0,Randy Arozarena,2022,TBR,27,0.364,0.273,0.355,0.472,606,527,93,144,88,29,2,24,72,19,7,55,157,OF,['OF'],[],[],"['OF', 'UTIL']",0.827,248,165,55,12,0,1181.1,OF,0.0,33.4
13,15711,641933.0,Tyler O'Neill,2022,STL,27,0.347,0.254,0.325,0.477,607,543,87,138,80,27,2,30,81,13,3,49,169,OF,['OF'],[],[],"['OF', 'UTIL']",0.802,260,168,59,10,0,1177.2,OF,0.0,32.9
14,15672,640457.0,Austin Meadows,2022,TBR,27,0.348,0.251,0.329,0.467,620,542,82,136,74,31,4,26,90,8,4,61,141,OF/DH,"['OF', 'DH']",[],[],"['OF', 'DH', 'UTIL']",0.796,252,172,61,4,0,1174.2,OF,0.0,32.6
15,10155,545361.0,Mike Trout,2022,LAA,31,0.415,0.283,0.391,0.568,529,428,83,121,65,23,3,31,82,6,2,77,119,OF,['OF'],[],[],"['OF', 'UTIL']",0.959,244,165,57,4,0,1173.3000000000002,OF,0.0,32.5
16,13590,608385.0,Jesse Winker,2022,CIN,29,0.379,0.276,0.37,0.5,606,522,86,144,83,31,1,28,76,3,1,68,116,OF/DH,"['OF', 'DH']",[],[],"['OF', 'DH', 'UTIL']",0.87,260,162,60,2,0,1173.2,OF,0.0,32.5
17,18564,663757.0,Trent Grisham,2022,SDP,26,0.342,0.25,0.338,0.434,634,549,86,137,84,28,5,21,73,16,3,69,146,OF,['OF'],[],[],"['OF', 'UTIL']",0.772,239,159,54,13,0,1170.1000000000001,OF,0.0,32.1
18,18373,663624.0,Ryan Mountcastle,2022,BAL,25,0.354,0.275,0.334,0.478,626,563,76,155,100,25,1,29,93,5,3,49,151,1B/OF,"['1B', 'OF']",[],['CI'],"['1B', 'OF', 'CI', 'UTIL']",0.812,269,169,55,2,0,1168.9,OF,0.0,31.9
19,14274,571745.0,Mitch Haniger,2022,SEA,32,0.339,0.246,0.316,0.463,626,557,94,137,80,24,2,31,83,4,1,53,153,OF,['OF'],[],[],"['OF', 'UTIL']",0.779,258,177,57,3,0,1161.7,OF,0.0,31.0
20,5254,543257.0,Robbie Grossman,2022,DET,33,0.336,0.239,0.338,0.411,654,557,80,133,82,28,4,20,66,17,4,80,140,OF,['OF'],[],[],"['OF', 'UTIL']",0.749,230,146,52,13,0,1154.8,OF,0.0,30.2
21,10950,594807.0,Adam Duvall,2022,ATL,34,0.331,0.234,0.293,0.482,601,548,78,128,68,21,2,37,98,4,0,42,167,OF,['OF'],[],[],"['OF', 'UTIL']",0.7749999999999999,264,176,60,4,0,1146.8000000000002,OF,0.0,29.2
