Season,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
1980,51112,144160,161210,38144,27636,6345,1076,3087,18053,16928,13190,1436,20212,657,1296,1883,3364,3294,1609,0.265
1981,34019,94467,105892,24157,17717,4000,659,1781,11147,10451,8868,895,13237,464,829,1252,2205,2021,1098,0.256
1982,50473,144149,161104,37651,26992,6316,964,3379,18110,17019,13302,1319,21221,677,1221,1740,3154,3176,1617,0.261
1983,50955,143539,160615,37443,26646,6463,1033,3301,18170,17067,13518,1379,21716,717,1255,1561,3297,3325,1618,0.261
1984,51802,143829,160566,37381,26925,6213,985,3258,17921,16778,13320,1270,22500,668,1286,1435,3189,3032,1510,0.26
1985,51212,143076,160320,36778,25788,6423,965,3602,18216,17129,13838,1337,22451,699,1144,1548,3289,3097,1431,0.257
1986,51110,143106,160858,36880,25701,6511,855,3813,18545,17396,14227,1289,24706,812,1175,1515,3117,3312,1620,0.258
1987,51173,144095,161922,37895,25748,6793,896,4458,19883,18713,14389,1287,25099,842,1110,1455,3125,3585,1529,0.263
1988,49903,142569,159380,36244,25838,6386,840,3180,17380,16217,12984,1367,23355,918,1264,1630,3088,3301,1418,0.254
1989,50628,142821,160033,36293,26035,6307,868,3083,17405,16229,13528,1447,23650,801,1240,1626,3063,3115,1441,0.254
1990,51345,142768,160316,36817,26109,6526,865,3317,17919,16804,13852,1384,23853,861,1261,1559,3077,3290,1509,0.258
1991,51796,142967,160746,36558,25782,6499,894,3383,18127,17048,13984,1229,24390,905,1249,1625,3023,3120,1567,0.256
1992,50937,142895,160545,36544,26098,6563,845,3038,17341,16284,13682,1315,23538,980,1294,1665,3114,3264,1601,0.256
1993,55035,154996,174564,41088,28669,7449,940,4030,20864,19596,15110,1477,26310,1200,1429,1811,3418,3263,1660,0.265
1994,38374,110266,124483,29743,20012,5723,702,3306,15752,14858,11131,1008,19766,876,992,1207,2443,2258,1032,0.27
1995,49777,138572,156703,36975,25112,6958,824,4081,19554,18436,14240,1105,25425,1219,1171,1489,3146,2932,1256,0.267
1996,55959,156801,177261,42320,28516,7987,855,4962,22831,21570,16093,1341,29308,1404,1400,1544,3609,3240,1343,0.27
1997,58107,155439,175541,41471,27944,8004,883,4640,21604,20468,15666,1169,29937,1449,1382,1577,3446,3308,1563,0.267
1998,62317,167119,188284,44490,29786,8741,899,5064,23297,22081,16447,1067,31894,1587,1403,1705,3704,3284,1505,0.266
1999,61966,167138,189692,45327,30128,8740,931,5528,24691,23461,17891,1107,31119,1579,1463,1603,3841,3421,1519,0.271
2000,62083,167290,190261,45246,29700,8901,952,5693,24971,23735,18237,1210,31356,1573,1514,1628,3892,2924,1323,0.27
2001,61371,166234,186976,43879,28680,8813,928,5458,23199,22088,15806,1384,32404,1890,1424,1607,3653,3103,1407,0.264
2002,68340,165583,186615,43272,28592,8700,921,5059,22408,21332,16246,1452,31394,1746,1399,1632,3845,2750,1282,0.261
2003,68519,166737,187449,44057,29089,8827,934,5207,22978,21886,15889,1316,30801,1849,1336,1626,3850,2573,1132,0.264
2004,68880,167353,188539,44522,29254,8919,898,5451,23376,22248,16222,1381,31828,1850,1363,1731,3784,2589,1100,0.266
2005,68432,166337,186294,43992,29224,8863,888,5017,22326,21248,15207,1216,30644,1797,1315,1620,3911,2565,1069,0.264
2006,69333,167341,188071,45073,29600,9135,952,5386,23599,22491,15847,1410,31655,1817,1396,1651,3948,2767,1110,0.269
2007,70143,167783,188623,44977,29885,9197,938,4957,23322,22257,16079,1323,32189,1755,1441,1540,3983,2918,1002,0.268
2008,69564,166714,187631,43972,29194,9014,886,4878,22585,21541,16337,1310,32884,1672,1365,1526,3888,2799,1035,0.264
2009,69035,165849,187079,43524,28796,8737,949,5042,22419,21364,16620,1179,33591,1590,1366,1635,3801,2970,1133,0.262
2010,68923,165353,185553,42554,28589,8486,866,4613,21308,20288,15778,1216,34306,1549,1301,1544,3727,2959,1129,0.257
2011,68729,165705,185245,42267,28418,8399,898,4552,20808,19804,15018,1231,34488,1554,1274,1667,3525,3279,1261,0.255
2012,69521,165251,184179,42063,27941,8261,927,4934,21017,19998,14709,1055,36426,1494,1223,1479,3620,3229,1136,0.255
2013,69267,166070,184872,42093,28438,8222,772,4661,20255,19271,14640,1018,36710,1536,1219,1383,3739,2693,1007,0.253
2014,69565,165614,183928,41595,28423,8137,849,4186,19761,18745,14020,985,37441,1652,1277,1343,3613,2764,1035,0.251
2015,70535,165488,183627,42106,28016,8242,939,4909,20647,19650,14073,951,37446,1602,1232,1200,3740,2505,1064,0.254
2016,70449,165561,184577,42276,27538,8255,873,5610,21744,20746,15088,932,38982,1651,1214,1025,3721,2537,1001,0.255
2017,70745,165567,185295,42215,26918,8397,795,6105,22582,21558,15829,970,40104,1763,1168,925,3804,2527,934,0.255
2018,71590,165432,185139,41018,26322,8264,847,5585,21630,20606,15686,929,41207,1922,1235,823,3457,2474,958,0.248
2019,71684,166651,186516,42039,25947,8531,785,6776,23467,22471,15895,753,42823,1984,1150,776,3463,2280,832,0.252
2020,26721,59030,66506,14439,9071,2823,241,2304,8344,7978,6092,202,15586,821,402,126,1237,885,292,0.245
