IDfg,Name,Season,PA,AB,R,1B,2B,3B,HR,RBI,BB,SO,HBP,SF,SB
19181,Zack Collins,2020,44.0,39.0,4.0,3.0,2.0,0.0,1.0,3.0,4.0,11.0,0.0,0.0,0.0
19392,Zach McKinstry,2020,17.0,16.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0
19198,Yuli Gurriel,2020,564.0,512.0,68.0,75.0,28.0,2.0,16.0,58.0,37.0,88.0,6.0,9.0,3.0
14773,Yu-Cheng Chang,2020,32.0,28.0,3.0,5.0,1.0,0.0,1.0,3.0,4.0,8.0,0.0,0.0,0.0
27459,Yoshitomo Tsutsugo,2020,453.0,392.0,63.0,49.0,15.0,2.0,18.0,57.0,56.0,117.0,4.0,3.0,2.0
19556,Yordan Alvarez,2020,22.0,20.0,4.0,3.0,1.0,0.0,1.0,6.0,1.0,4.0,1.0,0.0,0.0
11602,Yolmer Sanchez,2020,51.0,43.0,11.0,5.0,4.0,0.0,2.0,5.0,8.0,12.0,0.0,0.0,0.0
13110,Yoenis Cespedes,2020,83.0,75.0,9.0,8.0,3.0,0.0,4.0,10.0,6.0,28.0,2.0,0.0,1.0
17232,Yoan Moncada,2020,566.0,495.0,69.0,71.0,21.0,6.0,16.0,62.0,63.0,162.0,4.0,4.0,3.0
17423,Yermin Mercedes,2020,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11368,Yasmani Grandal,2020,475.0,405.0,64.0,58.0,18.0,1.0,18.0,63.0,63.0,131.0,4.0,4.0,2.0
16578,Yandy Diaz,2020,338.0,288.0,41.0,62.0,10.0,0.0,8.0,32.0,46.0,57.0,3.0,1.0,2.0
9627,Yan Gomes,2020,292.0,264.0,35.0,45.0,14.0,2.0,10.0,33.0,20.0,60.0,3.0,5.0,3.0
16313,Yairo Munoz,2020,110.0,104.0,14.0,18.0,8.0,0.0,3.0,12.0,5.0,26.0,1.0,0.0,3.0
7007,Yadier Molina,2020,382.0,350.0,37.0,68.0,9.0,1.0,11.0,42.0,23.0,66.0,6.0,2.0,2.0
11863,Yadiel Rivera,2020,12.0,11.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0
19334,Yadiel Hernandez,2020,69.0,62.0,8.0,6.0,5.0,0.0,2.0,11.0,5.0,22.0,0.0,1.0,0.0
12161,Xander Bogaerts,2020,551.0,495.0,82.0,94.0,21.0,1.0,24.0,68.0,51.0,110.0,2.0,3.0,15.0
14555,Wyatt Mathisen,2020,81.0,69.0,11.0,10.0,2.0,0.0,4.0,11.0,10.0,24.0,2.0,0.0,1.0
1433,Wilson Ramos,2020,380.0,344.0,38.0,55.0,15.0,1.0,13.0,40.0,29.0,81.0,5.0,2.0,2.0
5827,Wilmer Flores,2020,522.0,478.0,71.0,71.0,25.0,2.0,25.0,73.0,37.0,100.0,4.0,3.0,4.0
14320,Wilmer Difo,2020,44.0,37.0,4.0,4.0,1.0,0.0,1.0,4.0,6.0,10.0,0.0,1.0,0.0
15986,Willy Adames,2020,502.0,451.0,68.0,62.0,31.0,2.0,19.0,58.0,48.0,159.0,2.0,1.0,6.0
11609,Willson Contreras,2020,551.0,472.0,83.0,72.0,24.0,1.0,18.0,65.0,50.0,136.0,25.0,4.0,4.0
17838,Willie Calhoun,2020,265.0,241.0,19.0,36.0,8.0,2.0,5.0,32.0,17.0,51.0,3.0,3.0,2.0
15608,Willians Astudillo,2020,39.0,37.0,7.0,5.0,2.0,0.0,2.0,6.0,2.0,7.0,0.0,0.0,0.0
20503,William Contreras,2020,24.0,23.0,2.0,5.0,2.0,0.0,0.0,3.0,1.0,7.0,0.0,0.0,0.0
17338,Willi Castro,2020,343.0,312.0,48.0,67.0,12.0,3.0,14.0,52.0,23.0,88.0,3.0,4.0,2.0
19197,Will Smith,2020,336.0,287.0,51.0,42.0,19.0,0.0,16.0,53.0,42.0,64.0,5.0,2.0,2.0
19267,Will Craig,2020,10.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
10047,Wil Myers,2020,534.0,482.0,78.0,67.0,30.0,4.0,30.0,86.0,46.0,133.0,5.0,1.0,6.0
11281,Whit Merrifield,2020,649.0,598.0,89.0,110.0,29.0,1.0,22.0,75.0,39.0,103.0,9.0,3.0,23.0
19611,Vladimir Guerrero Jr.,2020,595.0,538.0,80.0,83.0,30.0,4.0,22.0,78.0,51.0,108.0,6.0,1.0,4.0
17684,Vimael Machin,2020,174.0,155.0,24.0,25.0,6.0,0.0,3.0,10.0,18.0,32.0,1.0,1.0,1.0
18363,Victor Robles,2020,463.0,412.0,52.0,67.0,15.0,2.0,11.0,44.0,29.0,122.0,16.0,4.0,8.0
15487,Victor Reyes,2020,522.0,484.0,71.0,94.0,19.0,4.0,13.0,44.0,31.0,114.0,5.0,1.0,15.0
14968,Victor Caratini,2020,323.0,286.0,31.0,47.0,16.0,0.0,6.0,39.0,29.0,76.0,7.0,1.0,2.0
14678,Tzu-Wei Lin,2020,140.0,126.0,11.0,18.0,4.0,0.0,2.0,12.0,9.0,37.0,1.0,2.0,1.0
13675,Tyrone Taylor,2020,100.0,91.0,14.0,11.0,7.0,0.0,4.0,13.0,7.0,22.0,2.0,0.0,1.0
15730,Tyler Wade,2020,257.0,222.0,40.0,28.0,9.0,0.0,8.0,27.0,27.0,57.0,6.0,2.0,7.0
17988,Tyler Stephenson,2020,49.0,43.0,8.0,7.0,1.0,0.0,3.0,10.0,5.0,16.0,1.0,0.0,0.0
15711,Tyler O'Neill,2020,385.0,341.0,49.0,38.0,14.0,1.0,16.0,46.0,36.0,99.0,5.0,2.0,6.0
13359,Tyler Naquin,2020,345.0,318.0,39.0,42.0,18.0,2.0,11.0,46.0,20.0,91.0,3.0,4.0,2.0
13897,Tyler Heineman,2020,122.0,106.0,11.0,17.0,4.0,0.0,2.0,9.0,11.0,22.0,3.0,0.0,2.0
9134,Tyler Flowers,2020,196.0,172.0,18.0,23.0,12.0,0.0,4.0,18.0,19.0,66.0,5.0,1.0,1.0
17982,Ty France,2020,380.0,343.0,47.0,64.0,20.0,2.0,11.0,52.0,30.0,90.0,6.0,1.0,2.0
