SlateGameID,SlateID,GameID,OperatorGameID,RemovedByOperator,Game.GameID,Game.Season,Game.SeasonType,Game.Status,Game.Day,Game.DateTime,Game.AwayTeam,Game.HomeTeam,Game.AwayTeamID,Game.HomeTeamID,Game.StadiumID,Game.AwayTeamRuns,Game.HomeTeamRuns,Game.AwayTeamProbablePitcherID,Game.HomeTeamProbablePitcherID,Game.AwayTeamStartingPitcherID,Game.HomeTeamStartingPitcherID,Game.PointSpread,Game.OverUnder,Game.AwayTeamMoneyLine,Game.HomeTeamMoneyLine,Game.ForecastTempLow,Game.ForecastTempHigh,Game.ForecastDescription,Game.ForecastWindChill,Game.ForecastWindSpeed,Game.ForecastWindDirection,Game.AwayTeamStartingPitcher,Game.HomeTeamStartingPitcher,Game.HomeRotationNumber,Game.AwayRotationNumber,Game.NeutralVenue,Game.OverPayout,Game.UnderPayout,Game.Innings
58231,9508,55283,5583251,False,55283,2019,1,Final,2019-06-21T00:00:00,2019-06-21T14:20:00,NYM,CHC,18,9,27,5,4,10000520,10001234,10000520,10001234,-1.5,8.5,156,-169,58,63,Light Rain,58,7,85,,,,,False,,,[]
57824,9439,55288,5582949,False,55288,2019,1,Final,2019-06-21T00:00:00,2019-06-21T19:10:00,TOR,BOS,3,25,50,5,7,10007605,10000249,10007605,10000249,-1.5,8.5,263,-291,58,59,Broken Clouds,59,6,340,,,,,False,,,[]
57825,9439,55284,5583037,False,55284,2019,1,Final,2019-06-21T00:00:00,2019-06-21T19:05:00,HOU,NYY,30,29,35,1,4,10000474,10001072,10000474,10001072,-1.5,9.5,143,-155,65,67,Clear Sky,65,13,322,,,,,False,,,[]
57826,9439,55279,5583505,False,55279,2019,1,Final,2019-06-21T00:00:00,2019-06-21T19:10:00,DET,CLE,17,10,10,6,7,10004421,10000328,10004421,10000328,-1.5,7.5,175,-190,58,62,Overcast Clouds,58,5,72,,,,,False,,,[]
57827,9439,55280,5583931,False,55280,2019,1,Final,2019-06-21T00:00:00,2019-06-21T20:15:00,MIN,KC,20,5,33,8,7,10001253,10007266,10001253,10007266,1.5,10.5,-155,143,72,79,Scattered Clouds,72,9,161,,,,,False,,,[]
57828,9439,55287,5584031,False,55287,2019,1,Final,2019-06-21T00:00:00,2019-06-21T19:05:00,SD,PIT,33,4,29,1,2,10007041,10005368,10007041,10005368,-1.5,9.5,103,-111,52,55,Overcast Clouds,52,3,9,,,,,False,,,[]
57829,9439,55286,5584191,False,55286,2019,1,Final,2019-06-21T00:00:00,2019-06-21T19:05:00,MIA,PHI,22,12,51,2,1,10005448,10005232,10005448,10005232,-1.5,8.0,228,-251,65,68,Clear Sky,65,10,328,,,,,False,,,[]
57830,9439,55289,5584326,False,55289,2019,1,Final,2019-06-21T00:00:00,2019-06-21T20:10:00,CIN,MIL,2,32,19,11,7,10000886,10000001,10000886,10000001,-1.5,8.5,114,-123,57,57,Overcast Clouds,57,8,47,,,,,False,,,[]
57831,9439,55285,5584437,False,55285,2019,1,Final,2019-06-21T00:00:00,2019-06-21T19:05:00,ATL,WSH,26,35,53,3,4,10000469,10001350,10000469,10001350,-1.5,9.5,130,-141,65,67,Scattered Clouds,67,10,325,,,,,False,,,[]
57832,9439,55291,5584448,False,55291,2019,1,Final,2019-06-21T00:00:00,2019-06-21T21:40:00,SF,ARI,15,14,54,11,5,10000250,10005674,10000250,10005674,-1.5,10.0,132,-143,85,86,Clear Sky,85,12,221,,,,,False,,,[]
