mlbname,mlbid
Graham Ashcraft,668933
Joan Adon,672851
Matthew Liberatore,669461
Nick Fortes,663743
Jazz Chisholm Jr.,665862
Jesus Aguilar,542583
Jesus Sanchez,133260
Avisail Garcia,541645
Erik Gonzalez,570481
Payton Henry,668721
Lewin Diaz,650331
Jose Devers,672701
Brian Miller,675649
Joe Mack,118086
Luis Gonzalez,114935
LaMonte Wade Jr.,664774
Donovan Walton,622268
Jason Krizan,607249
Kevin Padlo,656821
Michael Papierski,657709
Isan Diaz,656371
Luis Matos,275928
Cesar Hernandez,514917
Luis Garcia,408202
Adrian Sanchez,506703
Cody Wilson,680963
Richard Urena,620446
Taylor Gushue,656494
Albert Almora Jr.,546991
TJ Friedl,670770
Alejo Lopez,664670
Mark Kolozsvary,656627
Ronnie Dawson,669008
Allen Cordoba,642707
Trey Amburgey,664011
Miguel Andujar,609280
Estevan Florial,664314
Ben Rortvedt,666163
Jose Peraza,606299
Ronald Guzman,608597
Aaron Whitefield,664334
Magneuris Sierra,642423
Dillon Thomas,605504
Brendan Donovan,680977
Kramer Robertson,670298
Ali Sanchez,645305
Scott Hurst,656568
Julio Rodriguez,677594
Ha-Seong Kim,673490
Sergio Alcantara,642727
Jose Azocar,640492
Christopher Morel,666624
Alfonso Rivas,663845
Tyler Payne,665066
Greg Deichmann,656364
Trent Giambrone,623508
Robel Garcia,596825
Erick Castillo,602080
Johneshwy Fargas,641561
Eugenio Suarez,553993
Luis Urias,649966
Omar Narvaez,553882
Mike Brosseau,670712
Mark Mathias,664029
Jakson Reetz,656883
Mario Feliciano,666128
Carlos Rodriguez,121349
Ramon Urias,602104
Tyler Nevin,663527
Kelvin Gutierrez,642721
Rylan Bannon,676625
Shed Long Jr.,643418
Edwin Rios,621458
Andy Burns,542992
Eddy Alvarez,657193
Ronald Acuna Jr.,660670
Manny Pina,444489
Michael Harris II,671739
Joe Dunand,656388
Nick Plummer,663911
Patrick Mazeika,664850
Gosuke Katoh,641741
JT Riddle,595375
Travis Blankenhorn,663905
Brian Serven,661531
Alan Trejo,676701
Elehuris Montero,660707
Elias Diaz,553869
Dom Nunez,624513
Carlos Perez,542208
Ryan Vilade,668723
