idfangraphs,mlbid,Name,Year,Team,Age,ERA,WHIP,W,L,W%,G,GS,CG,SHO,IP,H,ER,HR,BB,SO,SO%,BB%,R
10954,594798,Jacob deGrom,2022,NYM,34,2.5,0.95,10,6,0.62,20,20,0,0,130,91,36,17,33,183,35.70%,6.50%,40
13125,543037,Gerrit Cole,2022,NYY,32,3.01,1.01,15,8,0.65,32,32,2,1,200,151,67,28,51,261,32.50%,6.60%,74
3137,453286,Max Scherzer,2022,NYM,38,3.02,1.03,12,8,0.6,28,28,1,0,180,139,60,24,46,235,32.40%,6.20%,66
19361,669203,Corbin Burnes,2022,MIL,28,2.95,1.01,11,7,0.61,32,32,0,0,192,140,63,15,54,243,31.50%,7.40%,69
18679,642547,Freddy Peralta,2022,MIL,26,3.54,1.13,10,6,0.62,29,29,1,0,165,123,65,16,63,208,30.60%,9.20%,72
13074,506433,Yu Darvish,2022,SDP,36,3.8,1.12,11,10,0.52,27,27,0,0,165,137,70,26,48,205,30.20%,7.00%,77
11486,592662,Robbie Ray,2022,SEA,31,3.52,1.14,11,10,0.52,30,30,0,0,180,138,70,32,67,222,29.80%,7.50%,77
17282,656629,Michael Kopech,2022,CHW,26,3.86,1.2,5,5,0.5,22,22,0,0,140,119,60,12,49,172,29.20%,8.30%,66
18525,656302,Dylan Cease,2022,CHW,27,3.85,1.22,12,9,0.57,30,30,0,0,168,137,72,23,68,203,28.70%,8.80%,79
13543,605483,Blake Snell,2022,SDP,30,3.72,1.17,9,8,0.53,27,27,0,0,158,122,65,21,63,189,28.70%,9.20%,72
16149,605400,Aaron Nola,2022,PHI,29,3.65,1.12,10,10,0.5,31,31,2,1,195,161,79,25,57,230,28.60%,6.50%,87
10603,519242,Chris Sale,2022,BOS,33,3.62,1.14,3,2,0.6,28,28,0,0,165,140,66,6,48,195,28.50%,7.40%,73
15474,608337,Lucas Giolito,2022,CHW,28,3.55,1.1,11,9,0.55,30,30,1,1,179,139,71,24,58,208,28.40%,8.10%,78
19427,669456,Shane Bieber,2022,CLE,27,3.49,1.13,12,6,0.67,29,29,0,0,182,149,71,20,57,213,28.30%,7.40%,78
4676,450203,Charlie Morton,2022,ATL,39,3.6,1.15,12,7,0.63,26,26,0,0,158,131,63,18,51,184,28.10%,7.70%,69
10310,554430,Zack Wheeler,2022,PHI,32,3.15,1.06,9,7,0.56,32,32,1,1,205,168,72,14,49,231,27.80%,5.80%,79
2036,477132,Clayton Kershaw,2022,LAD,34,3.49,1.1,13,8,0.62,21,21,0,0,130,111,50,22,32,148,27.80%,6.00%,55
16162,605540,Brandon Woodruff,2022,MIL,29,3.15,1.04,9,10,0.47,32,32,1,0,197,151,69,20,54,220,27.70%,6.90%,76
12768,543243,Sonny Gray,2022,MIN,33,3.96,1.22,10,10,0.5,28,28,0,0,160,132,70,20,63,186,27.50%,9.30%,77
14107,592332,Kevin Gausman,2022,TOR,31,3.63,1.14,11,8,0.58,30,30,0,0,185,156,75,22,55,209,27.30%,7.30%,83
12970,605397,Joe Musgrove,2022,SDP,30,3.6,1.14,10,11,0.48,29,29,1,1,171,141,68,22,54,193,27.30%,7.60%,75
8700,434378,Justin Verlander,2022,HOU,39,3.7,1.17,8,5,0.62,24,24,0,0,140,119,58,17,45,159,27.30%,7.10%,64
19291,668678,Zac Gallen,2022,ARI,27,3.75,1.21,6,8,0.43,28,28,0,0,165,137,69,18,63,188,27.00%,8.50%,76
19879,656557,Tanner Houck,2022,BOS,26,3.9,1.22,7,7,0.5,22,22,0,0,140,118,61,12,53,160,27.00%,8.60%,67
18000,663474,Triston McKenzie,2022,CLE,25,4.2,1.23,7,7,0.5,27,27,0,0,155,125,72,19,66,176,26.90%,9.50%,79
21483,663556,Shane McClanahan,2022,TBR,25,3.69,1.21,12,8,0.6,29,29,0,0,165,148,68,19,52,186,26.80%,7.50%,75
15689,622491,Luis Castillo,2022,CIN,30,3.65,1.24,5,6,0.45,31,31,0,0,181,157,73,9,67,203,26.50%,8.20%,80
13164,593958,Eduardo Rodriguez,2022,DET,29,3.89,1.26,13,8,0.62,29,29,0,0,168,159,73,21,53,190,26.50%,7.60%,80
17479,656427,Jack Flaherty,2022,STL,27,3.42,1.08,4,3,0.57,28,28,0,0,170,129,65,7,55,184,26.50%,8.30%,72
18684,645261,Sandy Alcantara,2022,MIA,27,3.25,1.08,9,12,0.43,32,32,1,0,205,162,74,20,59,221,26.40%,6.90%,81
24580,680686,Josiah Gray,2022,WSN,29,4.19,1.25,6,6,0.5,25,25,0,0,140,120,65,27,55,157,26.40%,9.40%,72
14120,621121,Lance McCullers Jr.,2022,HOU,29,3.71,1.19,5,3,0.62,25,25,0,0,140,110,58,8,57,155,26.40%,9.80%,64
12808,605182,Mike Clevinger,2022,SDP,32,3.69,1.19,7,5,0.58,24,24,1,1,140,119,57,14,48,154,26.30%,8.30%,63
16358,641816,Tyler Mahle,2022,CIN,28,3.85,1.22,11,9,0.55,31,31,0,0,172,148,74,25,62,190,26.20%,8.50%,81
22286,669432,Trevor Rogers,2022,MIA,25,3.65,1.16,8,9,0.47,30,30,0,0,171,140,69,14,58,186,26.20%,8.50%,76
14765,628711,Julio Urias,2022,LAD,26,3.37,1.12,13,4,0.76,30,30,0,0,180,150,67,17,52,194,26.10%,6.80%,74
22250,669302,Logan Gilbert,2022,SEA,25,3.93,1.22,7,6,0.54,29,29,0,0,170,158,74,17,49,187,26.10%,6.70%,81
20468,660623,Huascar Ynoa,2022,ATL,24,4.05,1.21,5,7,0.42,24,24,0,0,140,121,63,17,48,154,26.10%,7.50%,69
19374,621111,Walker Buehler,2022,LAD,28,3.02,1.05,13,5,0.72,32,32,0,0,200,154,67,21,56,211,26.00%,6.80%,74
